swc_node_id,neuron_section_index,source_section,source_region,parent_section,parent_x,depth,swc_type,prox_x,prox_y,prox_z,prox_diam,dist_x,dist_y,dist_z,dist_diam,length_um
163,161,p3b1b2b1[2],distDend,p3b1b2b1[1],1,11,4,-14.197,-80.852,37.589,0.95,-15.942,-87.299,45.075,0.95,10.0323990152
164,162,p3b1b1b1b2[1],distDend,p3b1b1b1b2[0],1,11,4,-40.053,-33.917,-1.02,0.47,-45.93,-29.72,-2.895,0.47,7.46120385729
165,163,p3b1b1b1b1[1],distDend,p3b1b1b1b1[0],1,11,4,-40.159,-42.144,-0.855,0.58,-46.16,-43.77,-0.855,0.58,6.21738506126
166,164,p2b1b2b2[0],distDend,p2b1b2[5],1,11,4,-55.93,-23.5,17.52,1.019,-63.133,-24.187,19.05,1.019,7.39567968479
167,165,p2b1b2b1[0],distDend,p2b1b2[5],1,11,4,-55.93,-23.5,17.52,0.81,-55.11,-30.18,15.3,0.81,7.08683286102
168,166,p2b1b1b2[5],distDend,p2b1b1b2[4],1,11,4,-24.42,-45.68,38.13,1.464,-24.689,-52.188,41.19,1.464,7.19652867708
169,167,p1b2b2b2[1],distDend,p1b2b2b2[0],1,11,4,-0.758,51.935,61.099,0.81,2.44,49.88,62.775,0.81,4.15441993544
170,168,p1b2b2b1[1],distDend,p1b2b2b1[0],1,11,4,-6.202,52.312,65.751,0.72,-12.974,54.229,69.915,0.72,8.17763835102
171,169,p1b2b1b2[2],distDend,p1b2b1b2[1],1,11,4,6.612,68.803,56.496,0.866,15.674,68.454,55.142,0.866,9.16923993579
172,170,p1b2b1b1b2[0],distDend,p1b2b1b1[1],1,11,4,-10.12,81.09,60.045,0.814,-5.973,85.163,62.943,0.814,6.49502440334
173,171,p1b2b1b1b1[0],distDend,p1b2b1b1[1],1,11,4,-10.12,81.09,60.045,1.266,-11.76,86.164,59.431,1.266,5.36768777035
174,172,p1b1b2[2],distDend,p1b1b2[1],1,11,4,-30.718,79.954,49.5,0.81,-36.74,85.24,49.335,0.81,8.01458077506
175,173,p1b1b1[2],distDend,p1b1b1[1],1,11,4,-31.477,68.592,54.945,0.81,-36.63,65.54,54.6,0.81,5.99892807091
176,174,p0b2b2b2[4],distDend,p0b2b2b2[3],1,11,4,-12.028,62.855,56.31,0.772,-13.19,70.862,58.86,0.772,8.48320652819
177,175,p0b2b2b1b2b2[0],distDend,p0b2b2b1b2[1],1,11,4,-7.91,50.98,62.085,0.959,-10.422,57.43,70.101,0.959,10.590982013
178,176,p0b2b2b1b2b1[0],distDend,p0b2b2b1b2[1],1,11,4,-7.91,50.98,62.085,0.868,-3.405,53.201,69.288,0.868,8.78129119207
179,177,p0b2b1b2[7],distDend,p0b2b1b2[6],1,11,4,1.985,93.655,27.129,1.271,8.226,98.281,34.846,1.271,10.9499792694
180,178,p0b2b1b1b2[2],distDend,p0b2b1b1b2[1],1,11,4,-62.929,51.078,34.71,1.301,-67.91,58.314,35.895,1.301,8.8642135579
181,179,p0b2b1b1b1[2],distDend,p0b2b1b1b1[1],1,11,4,-48.49,28.235,23.31,0.81,-45,19.76,23.31,0.81,9.16546370895
182,180,p0b1b2b2b2[2],distDend,p0b1b2b2b2[1],1,11,4,8.111,88.392,30.024,0.808,5,94.956,31.65,0.808,7.44367469735
183,181,p0b1b2b2b1b2[1],distDend,p0b1b2b2b1b2[0],1,11,4,22.09,85.803,39.81,1.022,21.019,94.066,39.465,1.022,8.3392586601
184,182,p0b1b2b2b1b1[1],distDend,p0b1b2b2b1b1[0],1,11,4,24.832,83.216,47.076,0.81,29.65,85.48,52.05,0.81,7.28556765119
185,183,p0b1b2b1[3],distDend,p0b1b2b1[2],1,11,4,12.223,95.92,48.825,1.009,5.924,99.73,45.992,1.009,7.88792685057
186,184,p0b1b1[4],distDend,p0b1b1[3],1,11,4,30.633,51.361,41.02,0.58,35.93,48.5,34.365,0.58,8.9739932583
187,185,axIN[0],axNode,axIS[9],1,12,2,25,0,0,1.5,0,75,0,1.5,79.0569415042
188,186,p3b2b1b2b2[1],distDend,p3b2b1b2b2[0],1,12,3,29.221,-60.42,63.78,0.798,34.919,-64.003,71.61,0.798,10.3254052221
189,187,p3b2b1b2b1[1],distDend,p3b2b1b2b1[0],1,12,3,26.499,-52.043,68.272,0.938,31.749,-50.28,77.565,0.938,10.8180644295
190,188,p3b2b1b1b2[2],distDend,p3b2b1b1b2[1],1,12,3,18.496,-72.062,36.915,0.58,22.21,-77.41,36.735,0.58,6.5136241832
191,189,p3b2b1b1b1[2],distDend,p3b2b1b1b1[1],1,12,3,6.124,-70.562,55.477,0.841,5.776,-74.677,63.27,0.841,8.81959058007
192,190,p3b1b2b2[3],distDend,p3b1b2b2[2],1,12,3,5.82,-89.027,23.13,0.833,11.134,-94.879,25.86,0.833,8.36285836302
193,191,p3b1b2b1[3],distDend,p3b1b2b1[2],1,12,3,-15.942,-87.299,45.075,0.762,-20.078,-91.695,49.674,0.762,7.58828788331
194,192,p2b1b2b2[1],distDend,p2b1b2b2[0],1,12,3,-63.133,-24.187,19.05,1.093,-68.14,-27.443,19.395,1.093,5.98252538649
195,193,p2b1b2b1b2[0],distDend,p2b1b2b1[0],1,12,3,-55.11,-30.18,15.3,0.929,-54.886,-36.318,13.605,0.929,6.37167521143
196,194,p2b1b2b1b1[0],distDend,p2b1b2b1[0],1,12,3,-55.11,-30.18,15.3,0.81,-55.93,-33.29,14.28,0.81,3.37415174525
197,195,p2b1b1b2[6],distDend,p2b1b1b2[5],1,12,3,-24.689,-52.188,41.19,1.152,-27.601,-59.635,46.251,1.152,9.46315349131
198,196,p1b2b2b2b2[0],distDend,p1b2b2b2[1],1,12,3,2.44,49.88,62.775,0.812,6.431,45.827,65.939,0.812,6.50890052159
199,197,p1b2b2b2b1[0],distDend,p1b2b2b2[1],1,12,3,2.44,49.88,62.775,0.7,6.74,49.42,62.595,0.7,4.32827910375
200,198,p1b2b2b1[2],distDend,p1b2b2b1[1],1,12,3,-12.974,54.229,69.915,0.731,-18.694,53.126,74.208,0.731,7.23635667999
201,199,p1b2b1b2[3],distDend,p1b2b1b2[2],1,12,3,15.674,68.454,55.142,1.095,19.88,67.5,60.735,1.095,7.06273325279
202,200,p1b2b1b1b2[1],distDend,p1b2b1b1b2[0],1,12,3,-5.973,85.163,62.943,0.831,-4.4,87.938,70.56,0.831,8.2579442357
203,201,p1b2b1b1b1[1],distDend,p1b2b1b1b1[0],1,12,3,-11.76,86.164,59.431,1.05,-9.53,91.69,63.96,1.05,7.48474562026
204,202,p1b1b2b2[0],distDend,p1b1b2[2],1,12,3,-36.74,85.24,49.335,1.1,-38.449,91.923,48.246,1.1,6.98348702297
205,203,p1b1b2b1[0],distDend,p1b1b2[2],1,12,3,-36.74,85.24,49.335,1.122,-42.805,83.561,44.235,1.122,8.10020160243
206,204,p1b1b1b2[0],distDend,p1b1b1[2],1,12,3,-36.63,65.54,54.6,0.583,-38.91,63.6,64.421,0.583,10.2671340207
207,205,p1b1b1b1[0],distDend,p1b1b1[2],1,12,3,-36.63,65.54,54.6,0.865,-42.803,63.001,52.074,0.865,7.13674477616
208,206,p0b2b2b2[5],distDend,p0b2b2b2[4],1,12,3,-13.19,70.862,58.86,0.871,-18.283,75.766,55.965,0.871,7.63995353389
209,207,p0b2b2b1b2b2[1],distDend,p0b2b2b1b2b2[0],1,12,3,-10.422,57.43,70.101,1.932,-10.673,59.987,75.348,1.932,5.84228200278
210,208,p0b2b2b1b2b1[1],distDend,p0b2b2b1b2b1[0],1,12,3,-3.405,53.201,69.288,0.889,1.705,52.377,75.87,0.889,8.37339835431
211,209,p0b2b1b2[8],distDend,p0b2b1b2[7],1,12,3,8.226,98.281,34.846,1.022,11.039,105.62,39.002,1.022,8.89079445269
212,210,p0b2b1b1b2[3],distDend,p0b2b1b1b2[2],1,12,3,-67.91,58.314,35.895,1.368,-75.571,59.977,38.1,1.368,8.14361805342
213,211,p0b1b2b2b2[3],distDend,p0b1b2b2b2[2],1,12,3,5,94.956,31.65,0.532,2.581,101.75,30.795,0.532,7.26230142586
214,212,p0b1b2b2b1b2[2],distDend,p0b1b2b2b1b2[1],1,12,3,21.019,94.066,39.465,0.93,24.65,101.37,39.975,0.93,8.17267869184
215,213,p0b1b2b2b1b1b2[0],distDend,p0b1b2b2b1b1[1],1,12,3,29.65,85.48,52.05,1.278,34.135,87.229,54.198,1.278,5.27144477349
216,214,p0b1b2b2b1b1b1[0],distDend,p0b1b2b2b1b1[1],1,12,3,29.65,85.48,52.05,1.884,28.14,86.13,56.642,1.884,4.87740340755
217,215,p0b1b2b1[4],distDend,p0b1b2b1[3],1,12,3,5.924,99.73,45.992,0.81,4.76,106.44,51.54,0.81,8.78403665748
218,216,axIN[1],axNode,axIN[0],1,13,6,0,75,0,1.5,0,125,0,1.5,50
219,217,p3b2b1b2b2[2],distDend,p3b2b1b2b2[1],1,13,4,34.919,-64.003,71.61,0.815,40.987,-67.629,78.24,0.815,9.69151174998
220,218,p3b2b1b2b1[2],distDend,p3b2b1b2b1[1],1,13,4,31.749,-50.28,77.565,0.7,33.95,-44.86,83.685,0.7,8.46612077637
